HUZ649701.90286	gi|1001942081|gb|131489-132374(+)
HUZ239360.65248	mge|2571.1|1610-2909(+)
2512392175	mge|2746.1|67319-67889(+)
HMPREF0358_4887	mge|2293.1|6489-7953(+)
HUZ237575.35150	mge|2368.1|36448-37735(+)
HUZ432496.32687	gi|399498121|emb|100214-101279(+)
CHARM066_V2.58618	mge|2124.1|1141-1693(+)
HUZ648375.21446	mge|2313.1|12417-13611(-)
HUZ648375.21396	mge|2473.1|0-1275(-)
HUZ243262.3306	mge|2081.1|17038-18706(-)
CHARM180_V2.41449	mge|2693.1|8238611-8241194(-)
HMPREF0298_2130	gi|823079903|gb|2354-3545(+)
2517208228	mge|2441.1|5158-6751(-)
SRS017700.26-T1-C	gi|428670858|emb|21567-22689(+)
HUZ614244.21802	gi|78675276|dbj|38315-39437(+)
HUZ616187.6721	mge|2693.1|778191-779163(-)
650182892	gi|685041968|emb|442-2842(+)
CHARM144_V2.11678	mge|2455.1|37153-39088(-)
2512391613	mge|2693.1|5859015-5859555(-)
HUZ237575.36553	mge|2693.1|778191-779163(-)
HMPREF0693_3553	mge|2538.1|3114-4272(+)
2536319869	mge|2693.1|6543911-6545102(+)
HMPREF0766_13962	mge|2746.1|36965-39191(+)
HUZ621105.7507	mge|2657.1|14361-16890(-)
CHARM140_V2.5510	mge|2693.1|6543911-6545102(+)
HUZ436911.44171	mge|2087.1|19595-20849(-)
650088185	mge|2693.1|598329-599580(+)
414_050806.63103	gi|1001941506|gb|8045-10019(+)
HUZ633103.1646	gi|215536964|gb|27373-28201(+)
CHARM066_V2.50850	gi|338163431|gb|16478-18821(+)
HUZ643591.14077	gi|339293023|gb|32904-33522(+)
EM02W9D2.44588	gi|343178336|emb|87710-88634(+)
HUZ432163.21899	gi|371781964|emb|44659-45313(-)
HUZ237575.26840	gi|38638842|emb|9915-10095(+)
HUZ646173.25669	gi|38731416|gb|90-1266(-)
HUZ433466.6672	gi|451937347|gb|6423-6702(+)
HUZ647004.71901	gi|50261575|gb|6839-8255(-)
HUZ621105.23768	gi|50261575|gb|6839-8255(-)
401_022506.7509	gi|549140478|emb|26337-26790(-)
HUZ239360.34465	gi|921957552|gb|35756-35984(-)
2520353659	gi|928543573|gb|20691-21045(+)
HMPREF0358_4655	gi|946713951|dbj|30747-30975(-)
HUZ243262.14508	mge|2032.1|23702-24500(-)
CHARM154_V1.1807	mge|2033.1|23439-23820(+)
2520352125	mge|2068.1|0-270(+)
647446533	mge|2081.1|22336-22537(+)
CHARM126_V1.30249	mge|2082.1|5588-6911(-)
HUZ649360.4706	mge|2087.1|19595-20849(-)
HUZ647004.77467	mge|2090.1|70093-71551(+)
HUZ650853.8398	mge|2124.1|1747-3682(+)
648817225	mge|2136.1|13759-14941(+)
HUZ649701.66321	mge|2276.1|10055-11417(+)
CHARM110_V2.29700	mge|2364.1|11257-11836(+)
HUZ237575.53537	mge|2555.1|17738-18629(+)
HUZ252644.7754	mge|2609.1|12523-13114(-)
CHARM180_V1.13231	mge|2609.1|13465-13702(-)
HUZ252644.42976	mge|2643.1|9888-10620(+)
HUZ646173.40146	mge|2654.1|2402-4184(+)
2511725048	mge|2693.1|5746914-5747229(-)
HUZ239420.38013	mge|2693.1|6560419-6563488(-)
2517207327	mge|2693.1|6851776-6853576(-)
2535273415	mge|2700.1|14391-14592(+)
2597908084	mge|2700.1|14391-14592(+)
HUZ435180.5604	mge|2702.1|16711-18025(+)
HUZ612660.84	mge|2753.1|15364-16942(-)
HUZ643591.3987	mge|2753.1|15364-16942(-)
2535540381	mge|2693.1|5728283-5731163(+)
2535539818	gi|388549399|gb|70545-72807(+)
HMPREF9711_03513	mge|2746.1|36965-39191(+)
2541320997	gi|45504618|gb|15574-16984(+)
HUZ433466.7867	gi|451937105|gb|21783-23145(-)
HMPREF0693_1375	gi|388549399|gb|70545-72807(+)
CHARM066_V2.18246	gi|823079903|gb|2354-3545(+)
HMPREF0204_11723	gi|823079903|gb|2354-3545(+)
414_050806.16707	mge|2364.1|11257-11836(+)
HUZ649701.41911	mge|2364.1|11257-11836(+)
2621256171	mge|2364.1|11257-11836(+)
CHARM066_V2.52634	gi|148763412|gb|40944-43272(-)
2535540536	mge|2192.1|22671-23181(-)
CHARM144_V2.36830	mge|2455.1|31668-33030(-)
AYAC03W2D1.27312	mge|2693.1|5981099-5983595(+)
HMPREF0693_0706	mge|2746.1|46469-47324(-)
CHARM066_V2.32311	gi|13346831|gb|8599-9358(+)
HMP40_W6D2.44580	mge|2693.1|8238611-8241194(-)
CHARM170_V2.23562	mge|2090.1|55208-56324(+)
HUZ613213.30971	mge|2155.1|16492-18775(-)
HUZ235509.3530	mge|2693.1|7240017-7241286(+)
HUZ252644.27306	gi|670143009|gb|108638-109622(+)
HUZ437972.49156	mge|2693.1|527472-530103(-)
HUZ252644.40909	gi|238558566|gb|11399-12860(+)
HUZ239413.2417	gi|38731416|gb|22082-22457(+)
2540952721	gi|50261575|gb|9410-10598(-)
CHARM170_V1.23958	mge|2261.1|13935-15084(+)
HUZ612660.12646	mge|2609.1|29646-29922(-)
HMPREF0693_2396	mge|2693.1|5644396-5644672(+)
645253140	mge|2693.1|6529175-6529709(+)
CHARM010_V1.4690	mge|2693.1|6904201-6904996(-)
HUZ647004.71583	mge|2693.1|7936103-7937741(+)
HUZ237575.48680	mge|2746.1|44559-44838(-)
HUZ239420.32531	gi|95832054|gb|58390-60988(-)
HUZ608549.7099	mge|2609.1|29646-29922(-)
646095314	mge|2693.1|5981099-5983595(+)
HUZ647004.74878	mge|2693.1|6559315-6560335(+)
644336417	mge|2746.1|36965-39191(+)
HUZ649701.26634	gi|694818060|gb|8449-10054(+)
HUZ616187.7072	gi|353351569|dbj|131728-133879(-)
HUZ239360.52187	gi|675218243|emb|15997-16714(+)
HUZ612660.2787	gi|921957892|gb|4241-5369(+)
HUZ434043.11503	mge|2485.1|17483-20324(+)
2520352016	gi|675218243|emb|65100-66297(-)
HMPREF0693_3805	gi|31408041|emb|12443-13901(+)
HUZ621105.10903	gi|323481889|gb|29169-29358(+)
CHARM144_V2.17932	gi|38731416|gb|5731-6493(+)
HUZ239114.17813	gi|78675276|dbj|161632-162778(-)
CHARM010_V1.12059	mge|2060.1|10337-10553(-)
401_022506.3514	mge|2485.1|17483-20324(+)
HUZ621105.15616	mge|2657.1|14361-16890(-)
CHARM170_V2.57235	mge|2693.1|598329-599580(+)
2522076494	mge|2755.1|33808-34267(-)
HUZ648375.7024	mge|2489.1|30726-31827(+)
2512392220	mge|2746.1|28591-29488(+)
2574336516	gi|823079903|gb|2354-3545(+)
2546878231	gi|323481889|gb|6256-6592(+)
2535272822	mge|2461.1|23786-24374(+)
HMPREF0358_1137	mge|2621.1|41641-42364(-)
HMPREF9694_04474	mge|2621.1|41641-42364(-)
2520353725	mge|2693.1|7232909-7234448(-)
HUZ437972.24711	gi|564271183|gb|14801-16031(+)
CHARM180_V1.33422	gi|190410749|gb|13456-14839(+)
HUZ243262.5605	gi|694818060|gb|11349-11769(+)
HUZ651102.43169	gi|823079903|gb|2354-3545(+)
HUZ619089.13373	mge|2349.1|36035-37826(-)
HUZ239360.66440	mge|2393.1|20328-23592(-)
CHARM144_V2.51972	mge|2398.1|26978-28493(-)
CHARM066_V2.56018	mge|2693.1|6560419-6563488(-)
CHARM180_V2.53946	mge|2693.1|6637716-6639522(+)
414_050806.48534	mge|2693.1|838183-839323(-)
2539292869	mge|2746.1|33610-34348(+)
HUZ621105.8726	mge|2657.1|14361-16890(-)
HUZ433466.7880	mge|2609.1|12523-13114(-)
HUZ252652.12346	mge|2753.1|32862-33624(-)
HUZ619089.28651	gi|320006194|gb|8218-12511(+)
HUZ432496.1304	gi|735999095|gb|10225-10648(+)
HUZ650302.53632	mge|2276.1|22060-22750(+)
HMP40_W6D2.50621	mge|2296.1|16744-18109(+)
648805524	gi|823079903|gb|2354-3545(+)
HUZ636460.32462	gi|723017348|gb|155910-156909(+)
HMPREF0358_1798	mge|2393.1|20328-23592(-)
HUZ648375.9295	mge|2485.1|24004-25567(-)
HUZ621105.9481	mge|2753.1|15364-16942(-)
HUZ620284.2321	mge|2693.1|6543911-6545102(+)
AYAC06W6D6.6286	gi|451937291|gb|8608-9247(-)
651115795	mge|2740.1|30762-31545(-)
HMPREF9694_05375	mge|2337.1|20111-21158(+)
2512480092	gi|7248462|gb|19706-24371(+)
CHARM150_V2.8264	gi|169260705|gb|16500-17730(+)
2539555107	gi|375281966|gb|34008-35946(+)
HUZ613213.18183	gi|45504618|gb|13361-14591(+)
HMPREF9689_03443	gi|725797542|gb|10037-10268(+)
HUZ239360.11548	gi|78675276|dbj|161632-162778(-)
CHARM126_V1.27162	gi|807197662|gb|18781-19000(+)
HUZ612660.2152	gi|937264049|gb|126993-127668(+)
HUZ651102.47153	mge|2090.1|70093-71551(+)
HUZ615540.8656	mge|2090.1|71567-73100(+)
HUZ647004.15299	mge|2124.1|1141-1693(+)
HUZ239360.57403	mge|2654.1|2402-4184(+)
HMPREF0298_0001	mge|2689.1|893-1190(-)
HUZ437268.36204	mge|2693.1|527472-530103(-)
644389178	mge|2722.1|17835-18327(+)
HMPREF9689_01264	mge|2746.1|39983-40304(+)
647043051	mge|2755.1|33808-34267(-)
HMPREF0358_0349	mge|2693.1|7016899-7018051(-)
2541321349	gi|451937291|gb|85-913(+)
HUZ243262.10205	gi|761545084|gb|37491-39663(-)
CHARM066_V1.51292	mge|2693.1|6222880-6224527(+)
HUZ241543.9169	gi|915983775|gb|36860-40340(-)
CHARM120_V2.7415	mge|2090.1|71567-73100(+)
EM02W9D2.46990	mge|2308.1|26383-28396(+)
642647414	mge|2227.1|52150-53098(+)
HUZ621105.2306	gi|723007181|gb|11407-16216(+)
HUZ608549.1304	gi|694817980|gb|59233-59701(-)
2535272249	gi|694817980|gb|59233-59701(-)
648677877	gi|694817980|gb|59233-59701(-)
HMPREF0010_02717	gi|823080414|gb|4466-5399(-)
CHARM066_V2.54200	mge|2693.1|7687252-7689115(-)
HUZ650302.6838	mge|2455.1|37153-39088(-)
2535594586	gi|119225778|dbj|40248-41895(+)
CHARM020_V2.281	gi|428670858|emb|32726-33083(+)
HUZ436564.817	gi|428670858|emb|32726-33083(+)
651137816	gi|5730257|emb|43443-43629(+)
HMP12_W1D2.900	gi|5730257|emb|43443-43629(+)
HUZ243262.18572	gi|761545084|gb|37491-39663(-)
SRS052620.1851-T1-C	mge|2398.1|8626-11476(+)
HUZ649360.15762	mge|2615.1|19583-20507(+)
2517208375	mge|2693.1|497320-497686(-)
HUZ437972.38008	mge|2753.1|32862-33624(-)
2520355842	mge|2693.1|8447530-8448484(+)
CHARM066_V2.56877	mge|2455.1|19874-20564(-)
HMPREF9689_05197	mge|2693.1|6560419-6563488(-)
HMPREF9694_03572	mge|2693.1|6560419-6563488(-)
VM027.24758	gi|1033016275|gb|8823-10149(-)
HUZ265136.54774	mge|2327.1|2303-3674(+)
HUZ237575.47532	mge|2654.1|23992-25555(-)
2517207946	mge|2693.1|7048191-7049169(-)
401_022506.9411	mge|2761.1|14216-16529(+)
HMPREF9694_02104	mge|2716.1|4455-5313(-)
2520354221	mge|2716.1|4455-5313(-)
644340424	gi|390607167|gb|77937-78519(+)
HMPREF0291_10281	gi|823079903|gb|2354-3545(+)
414_050806.53139	gi|940328418|gb|2434-4810(+)
HUZ239423.30004	mge|2485.1|17483-20324(+)
HUZ433466.49935	mge|2621.1|38965-40972(+)
CHARM066_V2.46842	mge|2693.1|8238611-8241194(-)
HUZ651102.39298	gi|45504618|gb|13361-14591(+)
642647459	mge|2227.1|52150-53098(+)
HMP40_W6D2.19290	mge|2368.1|7419-8796(+)
HMPREF0358_4691	mge|2446.1|32271-33033(-)
651114915	mge|2703.1|2283-2826(-)
2515625220	mge|2667.1|11566-12031(+)
CHARM110_V2.8619	mge|2090.1|55208-56324(+)
646952009	gi|601126953|gb|12022-12676(+)
HUZ265136.35088	mge|2633.1|19794-21063(-)
2539555083	gi|118566996|gb|42650-42791(+)
2512480083	gi|339293023|gb|29528-30197(+)
2533894129	gi|451939597|gb|23963-24176(-)
HUZ235500.37935	gi|451939597|gb|45234-46302(-)
HMP40_W6D2.30908	gi|723007181|gb|26754-27909(+)
SRS063417.431-T1-C	mge|2485.1|24004-25567(-)
HUZ437972.33627	mge|2489.1|24869-26186(-)
648806228	mge|2639.1|5776-7162(-)
HMPREF9694_02020	mge|2693.1|5597355-5598876(+)
HUZ239360.53940	mge|2693.1|6302490-6303531(-)
HUZ436420.27896	mge|2693.1|6560419-6563488(-)
414_050806.41712	mge|2693.1|7203255-7204725(-)
HUZ620284.55016	mge|2693.1|7936103-7937741(+)
HMPREF9694_04312	mge|2758.1|0-1182(-)
642759456	mge|2571.1|1610-2909(+)
HUZ239360.38840	mge|2090.1|71567-73100(+)
414_050806.2806	mge|2276.1|25650-26241(+)
HMPREF0693_3335	mge|2693.1|7239361-7240000(+)
642721018	mge|2693.1|751197-751956(-)
HUZ608549.2704	mge|2755.1|1878-2706(-)
HMPREF9689_05657	gi|675218243|emb|65100-66297(-)
HUZ649701.50445	mge|2153.1|7954-8692(-)
HUZ239423.5655	mge|2455.1|28800-29352(-)
CHARM020_V1.6175	gi|953699450|gb|20729-21809(+)
HUZ436911.67856	mge|2428.1|985-2362(-)
414_050806.61535	mge|2693.1|6347984-6348632(+)
647447150	mge|2639.1|5776-7162(-)
HUZ252644.18620	mge|2293.1|19266-20172(-)
HUZ252644.11001	mge|2753.1|15364-16942(-)
HUZ265136.18509	gi|343178336|emb|87710-88634(+)
HUZ243262.13134	gi|545609211|gb|14498-15284(+)
HUZ252652.9479	gi|761545084|gb|37491-39663(-)
2521075998	gi|823079903|gb|2354-3545(+)
2561994028	gi|823079903|gb|2354-3545(+)
EMO9W8D3.21331	mge|2087.1|19595-20849(-)
SRS055298.1162-T1-C	mge|2461.1|23786-24374(+)
HUZ621105.4278	mge|2629.1|1688-1994(+)
SRS017497.8343-T1-C	mge|2693.1|6222880-6224527(+)
650087155	mge|2693.1|814614-815565(+)
HUZ243262.10126	gi|761545084|gb|37491-39663(-)
VM319.12925	mge|2455.1|37153-39088(-)
647501125	gi|1014158443|gb|2036-2246(+)
AYAC05W6D2.7351	gi|428670858|emb|32726-33083(+)
2539552302	gi|62086029|gb|43658-44168(+)
2536322399	gi|641468695|gb|125296-125668(+)
HUZ621105.25345	gi|670143009|gb|108638-109622(+)
VM063.3446	mge|2755.1|25902-27078(-)
HUZ239114.9684	gi|823079903|gb|2354-3545(+)
CHARM066_V2.27338	mge|2276.1|1761-3696(+)
2536312997	gi|451937233|gb|21680-21983(-)
HMPREF9694_05425	mge|2474.1|41520-42402(+)
2515630381	mge|2117.1|0-663(-)
CHARM066_V2.58471	mge|2455.1|61183-62179(-)
CHARM066_V2.60871	mge|2693.1|6851776-6853576(-)
HUZ433466.42514	gi|694818060|gb|8449-10054(+)
HUZ270021.59397	gi|78675276|dbj|161632-162778(-)
HUZ612660.21127	mge|2364.1|11943-13206(+)
414_050806.38866	mge|2693.1|5981099-5983595(+)
HUZ243262.11853	gi|670143009|gb|108638-109622(+)
2539555722	mge|2364.1|11257-11836(+)
648316911	mge|2364.1|11257-11836(+)
651213540	mge|2693.1|6900710-6901277(+)
650258560	gi|45504618|gb|13361-14591(+)
HUZ237575.52268	gi|339293023|gb|32081-32510(+)
HUZ636460.65445	gi|451937907|gb|15896-16166(+)
VM319.78497	gi|451939597|gb|19150-19846(-)
2535272686	gi|5730257|emb|13672-14011(+)
414_050806.53577	gi|636483493|gb|12953-13487(+)
HUZ252644.52504	gi|670143009|gb|108638-109622(+)
HUZ239360.47936	gi|694818060|gb|83-284(-)
HUZ252644.34545	gi|694818060|gb|83-284(-)
HUZ644405.49330	gi|694818060|gb|83-284(-)
2541324149	gi|694818060|gb|83-284(-)
HUZ270022.41848	gi|695255755|gb|31891-32149(+)
2541318325	gi|823079903|gb|2354-3545(+)
2541319392	gi|823079903|gb|2354-3545(+)
CHARM170_V1.23697	gi|918360239|gb|64938-65901(+)
CHARM144_V2.41742	mge|2430.1|2285-3011(-)
HMPREF0358_2577	mge|2471.1|5839-6367(-)
VM033.28047	mge|2485.1|24004-25567(-)
HUZ433466.33506	mge|2485.1|24004-25567(-)
2536312682	mge|2556.1|2485-2587(+)
2515627137	mge|2559.1|3395-3602(+)
HMPREF0693_3757	mge|2600.1|32170-32386(-)
SRS055298.4118-T1-C	mge|2636.1|48447-50901(+)
CHARM066_V1.7900	mge|2672.1|12281-13142(-)
CHARM180_V1.8278	mge|2693.1|6904201-6904996(-)
HUZ636460.56946	mge|2694.1|7940-9524(+)
2511725484	mge|2693.1|7936103-7937741(+)
644131321	gi|451937291|gb|85-913(+)
LBGG_02253	gi|89891904|gb|25175-28730(+)
CHARM010_V1.16584	mge|2639.1|5776-7162(-)
HUZ644405.63641	gi|601126795|gb|1295-2051(-)
HMPREF0358_4609	mge|2520.1|22614-23280(-)
CHARM120_V1.7139	mge|2695.1|9043-13426(-)
HUZ239360.44554	gi|190014409|emb|9166-9673(+)
HUZ252652.9976	mge|2276.1|1761-3696(+)
VM319.58143	mge|2654.1|23992-25555(-)
HUZ436911.64160	mge|2654.1|23992-25555(-)
HUZ621105.4567	gi|670143009|gb|108638-109622(+)
2548867109	mge|2093.1|24264-24843(-)
2511724488	mge|2693.1|6851776-6853576(-)
HUZ270021.39951	gi|1001942081|gb|131489-132374(+)
HUZ621105.12813	gi|549140478|emb|22958-23762(-)
HUZ243262.15115	mge|2155.1|16492-18775(-)
HUZ437268.36722	mge|2693.1|6543911-6545102(+)
HUZ252644.27334	gi|148763412|gb|11005-11470(+)
CHARM144_V1.3196	gi|148763412|gb|11005-11470(+)
HUZ432163.47383	mge|2276.1|20815-22060(+)
HUZ621105.13783	gi|670143009|gb|108638-109622(+)
2514526332	mge|2137.1|0-1068(-)
2535540528	mge|2287.1|1027-2650(+)
HUZ436544.10845	gi|13346831|gb|8599-9358(+)
2530838830	mge|2428.1|2755-5014(-)
HMP40_W3D6.5111	gi|365189224|dbj|7903-8326(-)
HUZ240763.5310	gi|38731416|gb|21089-22025(+)
423_072106.4051	gi|428670858|emb|1289-1775(+)
HUZ621105.25021	mge|2087.1|3879-5829(-)
HMP12_W4D3.10422	mge|2090.1|71567-73100(+)
HUZ436911.68346	mge|2090.1|84701-85739(+)
HMPREF0204_10272	mge|2179.1|33865-34909(-)
HUZ651102.46719	mge|2455.1|0-1572(-)
HUZ239413.1702	mge|2461.1|23786-24374(+)
CHARM010_V1.39598	mge|2693.1|6560419-6563488(-)
SRS055298.167-T1-C	mge|2693.1|6609010-6610177(-)
651114265	mge|2753.1|15364-16942(-)
2509603507	gi|823079903|gb|2354-3545(+)
HUZ252652.8108	gi|451937291|gb|6525-7389(-)
2600716291	gi|66733427|gb|31831-32296(+)
2530838845	mge|2087.1|19595-20849(-)
HUZ432163.42290	mge|2087.1|19595-20849(-)
CHARM018_V1.22078	mge|2455.1|37153-39088(-)
HUZ421083.16781	mge|2364.1|11257-11836(+)
CHARM018_V1.17528	mge|2364.1|11257-11836(+)
651017140	mge|2364.1|11257-11836(+)
HUZ643591.11680	mge|2489.1|30726-31827(+)
642721267	mge|2693.1|673845-674175(-)
2600974325	mge|2485.1|24004-25567(-)
401_022506.7074	gi|451937291|gb|8608-9247(-)
CHARM066_V2.34006	mge|2672.1|12281-13142(-)
645289481	mge|2693.1|748953-749712(-)
2539550286	gi|5730257|emb|3915-4395(+)
HMPREF9689_00113	gi|827199624|gb|91234-91399(+)
HMPREF9694_03961	gi|827199624|gb|91234-91399(+)
CHARM066_V1.591	mge|2090.1|55208-56324(+)
HMPREF0358_1390	mge|2159.1|6485-6833(-)
HUZ243261.6110	mge|2755.1|1878-2706(-)
644321716	mge|2755.1|2708-3041(-)
VM031.12889	mge|2755.1|27785-28976(-)
HMPREF9689_00636	mge|2621.1|41641-42364(-)
644387801	mge|2719.1|13504-14629(+)
HMPREF9689_00467	mge|2758.1|0-1182(-)
2520353299	mge|2693.1|6560419-6563488(-)
SRS024428.2321-T1-C	mge|2087.1|19595-20849(-)
HUZ612660.17237	mge|2090.1|70093-71551(+)
2520354291	mge|2293.1|6489-7953(+)
HMPREF0693_1880	mge|2293.1|6489-7953(+)
HMPREF9689_03686	mge|2293.1|6489-7953(+)
HUZ237575.38572	gi|89212523|gb|35407-36697(+)
CHARM018_V2.58707	gi|325453278|gb|36436-37702(-)
HMPREF0358_1389	gi|49523585|emb|51117-51414(+)
2535271369	gi|54633549|gb|34917-36081(-)
648815859	gi|670143009|gb|108638-109622(+)
HUZ237575.47186	gi|723040945|gb|153698-154697(+)
HMPREF0308_2066	gi|827197390|gb|34871-35675(+)
AYAC03W2D1.40029	mge|2276.1|22060-22750(+)
2511556231	mge|2364.1|11257-11836(+)
CHARM180_V2.28714	mge|2615.1|1671-1878(+)
HUZ265136.8830	mge|2615.1|1671-1878(+)
HMP40_W6D2.29664	mge|2693.1|7526372-7528430(+)
CHARM010_V1.39758	mge|2693.1|778191-779163(-)
VM031.12525	mge|2762.1|8640-12438(+)
HUZ644405.27819	mge|2485.1|24004-25567(-)
HUZ421083.8669	mge|2485.1|24004-25567(-)
2512481344	gi|238558566|gb|12866-14090(+)
HUZ647004.50967	gi|314912616|gb|130-652(+)
HUZ237575.31011	mge|2427.1|12192-12651(-)
HUZ646173.21056	mge|2455.1|26382-27624(-)
2515631977	mge|2667.1|13039-13945(+)
2535593680	mge|2090.1|70093-71551(+)
HUZ243262.6096	gi|270209543|gb|6091-6319(+)
SRS055298.3187-T1-C	gi|761545084|gb|37491-39663(-)
HUZ239360.34320	gi|823079903|gb|2354-3545(+)
HUZ243261.7172	mge|2497.1|23688-24753(-)
HUZ621105.21895	mge|2654.1|23992-25555(-)
401_022506.666	mge|2753.1|15364-16942(-)
2512479921	gi|670143009|gb|108638-109622(+)
401_022506.3904	gi|226823036|gb|29148-29601(+)
647499214	gi|359472045|gb|12168-12615(+)
CHARM018_V2.67366	gi|694818060|gb|36086-36920(+)
HUZ648375.11619	mge|2473.1|0-1275(-)
HUZ646173.27754	mge|2693.1|7936103-7937741(+)
HUZ237575.49166	mge|2693.1|8135025-8135739(+)
642722175	mge|2693.1|8479624-8480671(-)
CHARM066_V2.20625	mge|2485.1|24004-25567(-)
SRS049237.451-T1-C	gi|344196584|gb|26799-27609(+)
2512390736	mge|2693.1|492808-493120(-)
CHARM066_V2.64666	mge|2693.1|8447530-8448484(+)
414_050806.18728	mge|2428.1|16700-18692(+)
CHARM144_V1.5416	gi|823079903|gb|2354-3545(+)
CHARM180_V2.1972	gi|823079903|gb|2354-3545(+)
2539291194	gi|675218243|emb|78724-80089(+)
HMP40_W6D2.47662	gi|148763412|gb|40944-43272(-)
HUZ432163.56938	mge|2155.1|16492-18775(-)
HUZ237575.48984	mge|2693.1|7141030-7142923(+)
644253214	gi|1022832827|gb|72297-72807(+)
2536320951	gi|1022832827|gb|72297-72807(+)
2530406969	gi|564271183|gb|6923-7670(+)
648678236	mge|2753.1|15364-16942(-)
HMPREF9514_00057	mge|2081.1|17038-18706(-)
HUZ434043.27659	mge|2090.1|71567-73100(+)
HUZ237575.15329	mge|2308.1|9573-9990(+)
HUZ270021.23419	mge|2364.1|11257-11836(+)
HMPREF0358_3512	mge|2693.1|6560419-6563488(-)
642645706	mge|2090.1|70093-71551(+)
HMPREF0358_0737	mge|2693.1|8447530-8448484(+)
401_022506.5036	gi|238558566|gb|3542-3995(+)
HUZ237575.20350	gi|823079903|gb|2354-3545(+)
HUZ649701.65500	mge|2090.1|71567-73100(+)
644291160	mge|2461.1|23786-24374(+)
648816586	mge|2132.1|5043-5703(+)
HUZ644405.11976	mge|2455.1|31668-33030(-)
HMPREF0693_3328	mge|2621.1|41641-42364(-)
2534280391	mge|2693.1|5597355-5598876(+)
HUZ643591.5472	gi|62086025|gb|25882-26860(-)
644256769	gi|1033016275|gb|8823-10149(-)
646635908	gi|119225778|dbj|40248-41895(+)
HUZ605895.5357	gi|148763412|gb|11005-11470(+)
HMPREF0693_1136	gi|30266034|gb|8644-11122(+)
HUZ433604.4343	gi|310003214|gb|127791-128490(+)
HUZ237575.26661	gi|314912616|gb|130-652(+)
CHARM144_V1.15315	gi|314912616|gb|130-652(+)
CHARM018_V1.5575	gi|321272088|gb|27375-27744(-)
VM033.267	gi|321272088|gb|27375-27744(-)
HUZ265136.42459	gi|347449230|gb|69084-70068(+)
CHARM010_V1.21444	gi|38638842|emb|23790-23973(+)
HUZ636460.4808	gi|38638842|emb|23790-23973(+)
2597908241	gi|38731416|gb|9797-10673(+)
SRS055298.1027-T1-C	gi|451939597|gb|19150-19846(-)
HUZ252644.19909	gi|525334607|gb|9-474(+)
HUZ436911.53427	gi|525335688|gb|45608-47681(+)
HUZ237575.24872	gi|601131888|gb|12166-12673(+)
2541323541	gi|641468695|gb|125296-125668(+)
2539291314	gi|675218243|emb|19315-20218(-)
HMPREF0291_10054	gi|695255755|gb|31891-32149(+)
HMPREF0298_2323	gi|695255755|gb|31891-32149(+)
HUZ620284.9495	gi|735999095|gb|22644-26091(+)
HUZ649659.6124	gi|761545084|gb|37491-39663(-)
HMPREF0693_1145	gi|815008671|gb|30289-30496(-)
HUZ647004.73484	gi|953699450|gb|20729-21809(+)
HUZ648375.21020	mge|2067.1|36754-37825(-)
414_050806.26178	mge|2072.1|29316-29844(-)
HUZ647004.77880	mge|2124.1|6867-8220(+)
HUZ636460.49507	mge|2249.1|6460-7969(-)
CHARM198_V2.7525	mge|2276.1|22060-22750(+)
HUZ434043.30396	mge|2276.1|38754-40239(+)
HUZ270022.76582	mge|2293.1|19266-20172(-)
2531199082	mge|2329.1|2133-2883(-)
HUZ235509.4994	mge|2364.1|11257-11836(+)
HUZ239423.18302	mge|2398.1|12000-13884(+)
HUZ621105.23213	mge|2427.1|12192-12651(-)
HUZ613213.28621	mge|2455.1|0-1572(-)
SRS052620.3139-T1-C	mge|2455.1|46001-47252(-)
HUZ636460.6542	mge|2456.1|1287-2940(-)
HUZ270021.65731	mge|2485.1|17483-20324(+)
645287983	mge|2571.1|1610-2909(+)
CHARM154_V2.3184	mge|2615.1|1671-1878(+)
HUZ239125.7472	mge|2621.1|38965-40972(+)
VM033.31694	mge|2639.1|5776-7162(-)
HUZ649701.86834	mge|2639.1|5776-7162(-)
HUZ237575.48691	mge|2654.1|23992-25555(-)
HUZ613213.30683	mge|2667.1|8121-9750(-)
VM033.40245	mge|2667.1|8121-9750(-)
HUZ612660.21606	mge|2672.1|12281-13142(-)
HUZ239360.59425	mge|2693.1|5981099-5983595(+)
HUZ240763.5033	mge|2693.1|598329-599580(+)
HUZ433604.5843	mge|2693.1|6541786-6543883(+)
HUZ613213.31575	mge|2693.1|6560419-6563488(-)
2515631786	mge|2693.1|7662776-7663898(+)
414_050806.57839	mge|2693.1|767684-768461(+)
VM033.40310	mge|2693.1|7936103-7937741(+)
CHARM018_V1.45431	mge|2693.1|8238611-8241194(-)
HMPREF0693_0675	mge|2746.1|63411-64140(-)
647501124	gi|345286837|gb|2262-3552(+)
HUZ433466.27003	gi|823079903|gb|2354-3545(+)
HMPREF0297_1737	gi|823079903|gb|2354-3545(+)
HMPREF0693_2245	mge|2028.1|933-1845(-)
HMPREF0693_3334	mge|2636.1|46897-48259(+)
2517208660	mge|2693.1|598329-599580(+)
HUZ647004.23286	mge|2087.1|19595-20849(-)
647376510	mge|2364.1|11257-11836(+)
642759289	gi|910307710|gb|49567-50065(+)
CHARM066_V1.41302	mge|2654.1|23992-25555(-)
648782548	mge|2090.1|70093-71551(+)
SRS024428.825-T1-C	gi|5730257|emb|19736-20186(+)
HMPREF0358_0793	mge|2497.1|13407-14712(+)
